Bot Pick,Computer Pick,Bot Result,Computer Result
PAPER,ROCK,Win,Loss
PAPER,PAPER,Tie,Tie
PAPER,ROCK,Win,Loss
SCISSORS,SCISSORS,Loss,Win
SCISSORS,ROCK,Win,Loss
PAPER,SCISSORS,Loss,Win
PAPER,SCISSORS,Loss,Win
PAPER,SCISSORS,Loss,Win
ROCK,PAPER,Tie,Tie
ROCK,SCISSORS,Loss,Win
PAPER,SCISSORS,Loss,Win
SCISSORS,ROCK,Win,Loss
PAPER,SCISSORS,Loss,Win
PAPER,PAPER,Tie,Tie
SCISSORS,ROCK,Win,Loss
ROCK,PAPER,Tie,Tie
PAPER,PAPER,Tie,Tie
ROCK,SCISSORS,Loss,Win
SCISSORS,PAPER,Tie,Tie
ROCK,SCISSORS,Loss,Win
ROCK,ROCK,Win,Loss
PAPER,SCISSORS,Loss,Win
ROCK,PAPER,Tie,Tie
ROCK,PAPER,Tie,Tie
ROCK,ROCK,Win,Loss
SCISSORS,PAPER,Tie,Tie
SCISSORS,PAPER,Tie,Tie
ROCK,PAPER,Tie,Tie
SCISSORS,PAPER,Tie,Tie
ROCK,ROCK,Win,Loss
SCISSORS,SCISSORS,Loss,Win
ROCK,ROCK,Win,Loss
SCISSORS,ROCK,Win,Loss
PAPER,ROCK,Win,Loss
ROCK,SCISSORS,Loss,Win
SCISSORS,PAPER,Tie,Tie
SCISSORS,ROCK,Win,Loss
PAPER,SCISSORS,Loss,Win
SCISSORS,PAPER,Tie,Tie
ROCK,SCISSORS,Loss,Win
ROCK,ROCK,Win,Loss
PAPER,ROCK,Win,Loss
SCISSORS,SCISSORS,Loss,Win
SCISSORS,PAPER,Tie,Tie
ROCK,PAPER,Tie,Tie
SCISSORS,ROCK,Win,Loss
SCISSORS,SCISSORS,Loss,Win
SCISSORS,PAPER,Tie,Tie
ROCK,ROCK,Win,Loss
SCISSORS,PAPER,Tie,Tie
SCISSORS,ROCK,Win,Loss
PAPER,SCISSORS,Loss,Win
PAPER,PAPER,Tie,Tie
SCISSORS,PAPER,Tie,Tie
SCISSORS,SCISSORS,Loss,Win
PAPER,SCISSORS,Loss,Win
PAPER,SCISSORS,Loss,Win
PAPER,ROCK,Win,Loss
PAPER,PAPER,Tie,Tie
PAPER,ROCK,Win,Loss
